,LICENSE_ID,SOURCE_SYSTEM,CALLSIGN,FACILITY_ID,FRN,LIC_NAME,COMMON_NAME,RADIO_SERVICE_CODE,RADIO_SERVICE_DESC,ROLLUP_CATEGORY_CODE,ROLLUP_CATEGORY_DESC,GRANT_DATE,EXPIRED_DATE,CANCELLATION_DATE,LAST_ACTION_DATE,LIC_STATUS_CODE,LIC_STATUS_DESC,ROLLUP_STATUS_CODE,ROLLUP_STATUS_DESC,ENTITY_TYPE_CODE,ENTITY_TYPE_DESC,ROLLUP_ENTITY_CODE,ROLLUP_ENTITY_DESC,LIC_ADDRESS,LIC_CITY,LIC_STATE,LIC_ZIP_CODE,LIC_ATTENTION_LINE,CONTACT_COMPANY,CONTACT_NAME,CONTACT_TITLE,CONTACT_ADDRESS1,CONTACT_ADDRESS2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_COUNTRY,CONTACT_PHONE,CONTACT_FAX,CONTACT_EMAIL,MARKET_CODE,MARKET_DESC,CHANNEL_BLOCK,LOC_TYPE_CODE,LOC_TYPE_DESC,LOC_CITY,LOC_COUNTY_CODE,LOC_COUNTY_NAME,LOC_STATE,LOC_RADIUS_OP,LOC_SEQ_ID,LOC_LAT_DEG,LOC_LAT_MIN,LOC_LAT_SEC,LOC_LAT_DIR,LOC_LONG_DEG,LOC_LONG_MIN,LOC_LONG_SEC,LOC_LONG_DIR,HGT_STRUCTURE,ASR_NUM,ANTENNA_ID,ANT_SEQ_ID,ANT_MAKE,ANT_MODEL,ANT_TYPE_CODE,ANT_TYPE_DESC,AZIMUTH,BEAMWIDTH,POLARIZATION_CODE,FREQUENCY_ID,FREQ_SEQ_ID,FREQ_CLASS_STATION_CODE,FREQ_CLASS_STATION_DESC,POWER_ERP,POWER_OUTPUT,FREQUENCY_ASSIGNED,FREQUENCY_UPPER_BAND,UNIT_OF_MEASURE,TOLERANCE,EMISSION_ID,EMISSION_SEQ_ID,EMISSION_CODE,GROUND_ELEVATION
171956,3000106267,ELS,WG9XHP,,28285377.0,Space Exploration Technologies Corp. (SpaceX),,XT,Experimental Testing,Experimental,Experimental,01/25/2021 00:00:00,07/25/2021 00:00:00,,2021-01-22 16:45:31,G,Unknown,A,Active,@,Unknown,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,Kristi Key,1 Rocket Road,Hawthorne,CA,90250,XX,,,,,,,,,,,,,,225806.0,,,,N,,,,W,,,3000225806.0,225806.0,,,N,Non-Directional,,,,3000874379.0,874379.0,MO,,9.4,,2232.5,,MHz.,0.00023,3001453401.0,1453401.0,4M14F1D,
179896,3000106897,ELS,WR9XMY,,2147817.0,Broadcast Sports International,,XD,Experimental Developmental,Experimental,Experimental,06/10/2021 00:00:00,07/18/2021 00:00:00,,2021-02-08 09:27:18,G,Unknown,A,Active,@,Unknown,B,Business,"Matthew Butler, 7455 Race Road",Hanover,MD,21076,,,Matthew Butler,Frequency Coordinator,,,,,,,,,,,,,,,Slinger,,,WI,3.0,227366.0,43.0,20.0,26.0,N,88.0,16.0,42.0,W,,,3000227366.0,227366.0,,,N,Non-Directional,,,,3000880420.0,880420.0,MO,,250.0,,2210.0,2220.0,MHz.,,3001462026.0,1462026.0,8M00D7W,
180007,3000104036,ELS,WJ2XNZ,,28285377.0,Space Explorations Technologies,,XC,Experimental Contract,Experimental,Experimental,02/10/2021 00:00:00,10/01/2022 00:00:00,,2021-02-10 17:11:17,G,Unknown,A,Active,C,Corporation,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,,,,,,XX,,,,,,,,,Cape Canaveral AFS,BREVARD,BREVARD,FL,0.1,220661.0,28.0,28.0,11.0,N,80.0,34.0,44.0,W,,,3000220661.0,220661.0,,,N,Non-Directional,,,,3000860635.0,860635.0,MO,,77.0,,2287.5,,MHz.,0.001,3001427051.0,1427051.0,4M80G1D,
180021,3000108163,ELS,WR9XUM,,3865771.0,"3G Wireless, LLC.",,XD,Experimental Developmental,Experimental,Experimental,04/30/2021 00:00:00,09/20/2021 00:00:00,,2021-04-08 14:29:34,G,Unknown,A,Active,@,Unknown,B,Business,"Greg Robinson, 501 McCormick Drive STE. B",Glen Burnie,MD,21061,,,Stephen Tobias,Frequency Coordinator,,,,,,,,,,,,,,,Alton,HALIFAX,HALIFAX,VA,5.26,230832.0,36.0,33.0,42.0,N,79.0,12.0,17.0,W,,,3000230832.0,230832.0,,,N,Non-Directional,,,,3000890561.0,890561.0,MO,,100.0,,2252.0,2260.0,MHz.,0.002,3001478136.0,1478136.0,8M00D7W,
180055,3000108278,ELS,WR9XML,,22588826.0,Kratos Defense and Security Solutions Inc.,,XC,Experimental Contract,Experimental,Experimental,04/20/2021 00:00:00,07/01/2021 00:00:00,,2021-04-20 15:58:45,G,Unknown,A,Active,@,Unknown,B,Business,"Bill Asiano, 12515 Academy Ridge View",Colorado Springs,CO,80921,,,Taylor Roche,Chief Engineer,Bill Asiano,12515 Academy Ridge View,Colorado Springs,CO,80921,XX,,,,,,,,,Tyndall Field AFB,,,FL,111.0,231148.0,30.0,1.0,47.0,N,85.0,32.0,29.0,W,,,3000231148.0,231148.0,,,Y,Directional,,28.0,,3000891798.0,891798.0,MO,,134.9,,2287.5,,MHz.,0.01,3001479960.0,1479960.0,466KG1D,
180092,3000108620,ELS,WF9XGI,,28285377.0,Space Exploration Technologies Corp.,,XT,Experimental Testing,Experimental,Experimental,05/27/2021 00:00:00,11/27/2021 00:00:00,,2021-05-03 17:49:00,G,Unknown,A,Active,@,Unknown,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,Kristi Key,1 Rocket Road,Hawthorne,CA,90250,XX,,,,,,,,,Cape Canaveral,BREVARD,BREVARD,FL,,231954.0,28.0,36.0,30.0,N,80.0,36.0,15.0,W,,,3000231954.0,231954.0,,,Y,Directional,,,,3000895344.0,895344.0,MO,,39.0,,2203.2,,MHz.,0.001,3001485920.0,1485920.0,4M15G1D,
180174,3000108868,ELS,WK2XEZ,,26673301.0,Astra Space Inc.,,XC,Experimental Contract,Experimental,Experimental,05/10/2021 00:00:00,05/10/2023 00:00:00,,2021-05-10 07:53:57,G,Unknown,A,Active,C,Corporation,B,Business,"Ethan Pease, 1900 Skyhawk Street",Alameda,CA,94501,,,Jacob Portukalian,Senior Engineer,Ethan Pease,1900 Skyhawk Street,Alameda,CA,94501,US,,,,,,,,,Atwater,MERCED,MERCED,CA,1.0,232663.0,37.0,21.0,31.0,N,120.0,33.0,36.0,W,,,3000232663.0,232663.0,,,N,Non-Directional,,,,3000897345.0,897345.0,MO,,6.31,,2211.0,,MHz.,2e-05,3001489120.0,1489120.0,2M32F1D,
180239,3000106418,ELS,WR9XMD,,7283856.0,Broad Comm Inc.,,XD,Experimental Developmental,Experimental,Experimental,01/18/2021 00:00:00,01/13/2021 15:51:30,,2021-01-13 15:51:30,E,Unknown,E,Expired,@,Unknown,B,Business,"Louis Libin, 382 Forest Avenue",Woodmere,NY,11598,,,Louis Libin,President,Louis Libin,382 Forest Avenue,Woodmere,NY,11598,XX,,,,,,,,,Washington,,,DC,5.0,226082.0,38.0,53.0,24.0,N,77.0,0.0,33.0,W,,,3000226082.0,226082.0,,,N,Non-Directional,,,,3000875727.0,875727.0,MO,,100.0,,2246.0,,MHz.,,3001455035.0,1455035.0,8M00D7W,
180246,3000107109,ELS,WR9XQG,,24940371.0,"Blue Origin Texas, LLC",,XT,Experimental Testing,Experimental,Experimental,05/01/2021 00:00:00,07/02/2021 00:00:00,,2021-02-22 13:51:42,G,Unknown,A,Active,@,Unknown,B,Business,"Charles Manry, 35961 Hwy 54",Van Horn,TX,79855,,,Charles Manry,FCC Operations Coordinator,Charles Manry,35961 Hwy 54,Van Horn,TX,79855,XX,,,,,,,,,Van Horn,CULBERSON,CULBERSON,TX,8.4,227900.0,31.0,27.0,6.0,N,104.0,45.0,46.0,W,,,3000227900.0,227900.0,,,N,Non-Directional,,,,3000881939.0,881939.0,MO,,5.0,,2272.5,,MHz.,,3001464616.0,1464616.0,5M00G1D,
180277,3000107361,ELS,WG9XHP,,28285377.0,Space Exploration Technologies Corp. (SpaceX),,XT,Experimental Testing,Experimental,Experimental,03/18/2021 00:00:00,09/18/2021 00:00:00,,2021-03-09 16:20:47,G,Unknown,A,Active,@,Unknown,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,Kristi Key,1 Rocket Road,Hawthorne,CA,90250,XX,,,,,,,,,,,,,,228538.0,,,,N,,,,W,,,3000228538.0,228538.0,,,N,Non-Directional,,,,3000883219.0,883219.0,MO,,9.6,,2272.5,,MHz.,0.00023,3001467503.0,1467503.0,4M14F1D,
