,LICENSE_ID,SOURCE_SYSTEM,CALLSIGN,FACILITY_ID,FRN,LIC_NAME,COMMON_NAME,RADIO_SERVICE_CODE,RADIO_SERVICE_DESC,ROLLUP_CATEGORY_CODE,ROLLUP_CATEGORY_DESC,GRANT_DATE,EXPIRED_DATE,CANCELLATION_DATE,LAST_ACTION_DATE,LIC_STATUS_CODE,LIC_STATUS_DESC,ROLLUP_STATUS_CODE,ROLLUP_STATUS_DESC,ENTITY_TYPE_CODE,ENTITY_TYPE_DESC,ROLLUP_ENTITY_CODE,ROLLUP_ENTITY_DESC,LIC_ADDRESS,LIC_CITY,LIC_STATE,LIC_ZIP_CODE,LIC_ATTENTION_LINE,CONTACT_COMPANY,CONTACT_NAME,CONTACT_TITLE,CONTACT_ADDRESS1,CONTACT_ADDRESS2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_COUNTRY,CONTACT_PHONE,CONTACT_FAX,CONTACT_EMAIL,MARKET_CODE,MARKET_DESC,CHANNEL_BLOCK,LOC_TYPE_CODE,LOC_TYPE_DESC,LOC_CITY,LOC_COUNTY_CODE,LOC_COUNTY_NAME,LOC_STATE,LOC_RADIUS_OP,LOC_SEQ_ID,LOC_LAT_DEG,LOC_LAT_MIN,LOC_LAT_SEC,LOC_LAT_DIR,LOC_LONG_DEG,LOC_LONG_MIN,LOC_LONG_SEC,LOC_LONG_DIR,HGT_STRUCTURE,ASR_NUM,ANTENNA_ID,ANT_SEQ_ID,ANT_MAKE,ANT_MODEL,ANT_TYPE_CODE,ANT_TYPE_DESC,AZIMUTH,BEAMWIDTH,POLARIZATION_CODE,FREQUENCY_ID,FREQ_SEQ_ID,FREQ_CLASS_STATION_CODE,FREQ_CLASS_STATION_DESC,POWER_ERP,POWER_OUTPUT,FREQUENCY_ASSIGNED,FREQUENCY_UPPER_BAND,UNIT_OF_MEASURE,TOLERANCE,EMISSION_ID,EMISSION_SEQ_ID,EMISSION_CODE,GROUND_ELEVATION
60061,3000075536,ELS,WE2XPM,,15493992.0,"General Dynamics-OTS, Inc.",,XT,Experimental Testing,Experimental,Experimental,02/01/2017 00:00:00,03/23/2017 11:17:58,,2017-03-23 11:17:58,E,Unknown,E,Expired,C,Corporation,B,Business,"Aaron Powell, 150 Johnston Road",Marion,VA,24354,,,Gerald Hicks,"Senior Supervisor,Radome Test",Aaron Powell,150 Johnston Road,Marion,VA,24354,XX,,,,,,,,,Marion,SMYTH,SMYTH,VA,,142345.0,36.0,50.0,4.0,N,81.0,30.0,24.0,W,,,3000142345.0,142345.0,,,Y,Directional,,,EFS,3000583671.0,583671.0,FX,,1800.0,,8390.0,10600.0,MHz.,,3000954877.0,954877.0,N0N,
61465,3000086739,ELS,WN9XAZ,,2149359.0,Lockheed Martin Corporation,,XT,Experimental Testing,Experimental,Experimental,07/30/2018 00:00:00,07/20/2018 11:50:31,,2018-07-20 11:50:31,E,Unknown,E,Expired,@,Unknown,B,Business,"Ryan N. Terry, 2121 Crystal Drive, Suite 100",Arlington,VA,22202,,,Ryan Terry,"Director, Regulatory Licensing",,,,,,,,,,,,,,,Goodyear,MARICOPA,MARICOPA,AZ,,172636.0,33.0,25.0,50.0,N,112.0,21.0,55.0,W,,,3000172636.0,172636.0,,,N,Non-Directional,,,,3000697112.0,697112.0,FX,,250.0,,8050.0,,MHz.,0.0003,3001159695.0,1159695.0,125MG1D,
62379,3000105444,ELS,WH2XCX,,18379230.0,Laurel Technologies Partnership,,XD,Experimental Developmental,Experimental,Experimental,11/01/2020 00:00:00,11/01/2022 00:00:00,,2020-10-29 16:57:37,G,Unknown,A,Active,P,Partnership,B,Business,"Jim Kijesky, 6200 118th Ave. N",Largo,FL,33773,,,Joe Natalino,Lead Project Engineer,Jim Kijesky,6200 118th Ave. N,Largo,FL,33773,XX,,,,,,,,,Largo,,,FL,5.0,223624.0,27.0,52.0,41.0,N,82.0,43.0,18.0,W,,,3000223624.0,223624.0,,,Y,Directional,,,,3000869052.0,869052.0,MO,,16.0,,8137.5,8400.0,MHz.,,3001441891.0,1441891.0,6M00G7W,
67939,3000072800,ELS,WK9XDU,,1821875.0,Georgia Institute of Technology,GEORGIA INSTITUTE OF TECHNOLOGY,XT,Experimental Testing,Experimental,Experimental,07/18/2016 00:00:00,07/15/2016 15:22:17,,2016-07-15 15:22:17,E,Unknown,E,Expired,@,Unknown,B,Business,"Joy Lupo, Office of Legal Affairs",Atlanta,GA,30332-0495,,,Alyssa Daya,Senior Research Scientist,,,,,,,,,,,,,,,Smyrna,COBB,COBB,GA,,134841.0,33.0,54.0,42.0,N,84.0,31.0,35.0,W,,,3000134841.0,134841.0,,,Y,Directional,,,,3000563334.0,563334.0,FX,,1.0,,8130.0,8175.0,MHz.,,3000915422.0,915422.0,4M00L7D,
69424,3000088768,ELS,WH2XMD,,1583483.0,The Boeing Company,,XT,Experimental Testing,Experimental,Experimental,12/01/2018 00:00:00,12/14/2018 07:49:10,,2018-12-14 07:49:10,E,Unknown,E,Expired,C,Corporation,B,Business,Freq Mgt Svcs M/C: 2T-22,Seattle,WA,98124-2207,,,"Garcia, Jr. John E.",Spectrum Manager,Freq Mgt Svcs M/C: 2T-22,,Seattle,WA,98124-2207,XX,,,,,,,,,Germantown,,,MD,0.1,177995.0,39.0,13.0,16.0,N,77.0,13.0,23.0,W,,,3000177995.0,177995.0,,,N,Non-Directional,,,,3000714346.0,714346.0,FX,,1.0,,8100.0,,MHz.,,3001185461.0,1185461.0,10K0F0N,
69503,3000089147,ELS,WJ2XZG,,23408065.0,Tyvak Nano-Satellite Systems,,XT,Experimental Testing,Experimental,Experimental,08/12/2019 14:08:10,08/01/2021 00:00:00,,2019-08-12 14:08:10,G,Unknown,A,Active,C,Corporation,B,Business,"Krystle Curnutte, 15330 Barranca Parkway",Irvine,CA,92618,,,Krystle Curnutte,General Counsel,,,,,,US,,,,,,,,,Nongeostationary,,,SP,,181878.0,,,,N,,,,W,,,3000181878.0,181878.0,,,Y,Directional,,,R,3000726773.0,726773.0,MO,,2.51,,8050.0,,MHz.,,3001206577.0,1206577.0,1M50G1D,
76618,3000070778,ELS,WJ9XOG,,18314054.0,University of Oklahoma,,XT,Experimental Testing,Experimental,Experimental,03/14/2016 00:00:00,03/17/2016 14:06:48,,2016-03-17 14:06:48,E,Unknown,E,Expired,@,Unknown,B,Business,"FCC Liaison, 3190 Monitor Avenue",Norman,OK,73019,,,Nathan Goodman,Director of Research,FCC Liaison,3190 Monitor Avenue,Norman,OK,73019,XX,,,,,,,,,Lawton,COMANCHE,COMANCHE,OK,,128908.0,34.0,44.0,43.0,N,98.0,31.0,55.0,W,,,3000128908.0,128908.0,,,N,Non-Directional,,,,3000533493.0,533493.0,FX,,150.0,,8200.0,8400.0,MHz.,,3000868514.0,868514.0,200MQ3N,
77916,3000088768,ELS,WH2XMD,,1583483.0,The Boeing Company,,XT,Experimental Testing,Experimental,Experimental,12/01/2018 00:00:00,12/14/2018 07:49:10,,2018-12-14 07:49:10,E,Unknown,E,Expired,C,Corporation,B,Business,Freq Mgt Svcs M/C: 2T-22,Seattle,WA,98124-2207,,,"Garcia, Jr. John E.",Spectrum Manager,Freq Mgt Svcs M/C: 2T-22,,Seattle,WA,98124-2207,XX,,,,,,,,,Germantown,,,MD,0.1,177995.0,39.0,13.0,16.0,N,77.0,13.0,23.0,W,,,3000177995.0,177995.0,,,N,Non-Directional,,,,3000714347.0,714347.0,FX,,1.0,,8300.0,,MHz.,,3001185462.0,1185462.0,10K0F0N,
78487,3000097218,ELS,WH2XMD,,1583483.0,The Boeing Company,,XT,Experimental Testing,Experimental,Experimental,01/01/2020 00:00:00,01/01/2022 00:00:00,,2020-02-05 10:53:45,G,Unknown,A,Active,C,Corporation,B,Business,Freq Mgt Svcs M/C: 2T-22,Seattle,WA,98124-2207,,,"Garcia, Jr. John E.",Spectrum Manager,Freq Mgt Svcs M/C: 2T-22,,Seattle,WA,98124-2207,XX,,,,,,,,,Thurmond,,,MD,0.1,202161.0,39.0,32.0,41.0,N,77.0,22.0,16.0,W,,,3000202161.0,202161.0,,,N,Non-Directional,,,,3000799981.0,799981.0,FX,,1.0,,8300.0,,MHz.,,3001324323.0,1324323.0,10K0F0N,
84579,3000072303,ELS,WF2XQA,,1583483.0,The Boeing Company,,XT,Experimental Testing,Experimental,Experimental,05/17/2016 13:39:22,05/17/2016 13:39:22,,2016-05-17 13:39:22,E,Unknown,E,Expired,C,Corporation,B,Business,Freq Mgt Svcs  M/C: 2T-22,Seattle,WA,98124-2207,,,Brian Gilman,Frequency Manager,Freq Mgt Svcs  M/C: 2T-22,,Seattle,WA,98124-2207,XX,,,,,,,,,Everett,SNOHOMISH,SNOHOMISH,WA,,133685.0,47.0,55.0,16.0,N,122.0,16.0,42.0,W,,,3000133685.0,133685.0,,,Y,Directional,,,,3000549417.0,549417.0,FX,,10.0,,8185.0,8272.0,MHz.,,3000896522.0,896522.0,N0N,
