,minutes,station,elevation
788,65,ONEWEB-0219,17.110244925893248
789,75,ONEWEB-0202,10.793295386301129
790,76,ONEWEB-0202,18.156841829353485
791,77,ONEWEB-0202,28.519659962126468
792,78,ONEWEB-0202,35.321799690598986
793,79,ONEWEB-0202,23.726467848246376
794,84,ONEWEB-0204,16.036039735834013
795,85,ONEWEB-0204,26.801844402275314
796,86,ONEWEB-0204,43.550211126931124
797,87,ONEWEB-0204,40.97036276795245
798,88,ONEWEB-0204,18.185505897559008
799,81,ONEWEB-0206,10.590683445821169
800,82,ONEWEB-0206,17.811630288923713
801,83,ONEWEB-0206,28.806478216917075
802,84,ONEWEB-0206,42.59506829893519
803,85,ONEWEB-0206,35.424102597356026
804,86,ONEWEB-0206,15.622128399486646
805,53,ONEWEB-0182,13.315427000416339
806,54,ONEWEB-0182,14.342227069926887
807,55,ONEWEB-0182,10.377786125461842
808,58,ONEWEB-0220,12.361156987914725
809,59,ONEWEB-0220,16.758249333874254
810,60,ONEWEB-0220,16.980598033979142
811,61,ONEWEB-0220,11.02594197114412
812,61,ONEWEB-0199,13.139763360304128
813,62,ONEWEB-0199,18.718167575069778
814,63,ONEWEB-0199,21.324154263502745
815,64,ONEWEB-0199,16.519270199766485
816,62,ONEWEB-0203,13.704592325915964
817,63,ONEWEB-0203,19.40010177738131
818,64,ONEWEB-0203,21.92095539698014
819,65,ONEWEB-0203,16.778589843639715
820,78,ONEWEB-0197,14.410275104330953
821,79,ONEWEB-0197,23.19628880595849
822,80,ONEWEB-0197,34.86512008566103
823,81,ONEWEB-0197,36.22665972950294
824,82,ONEWEB-0197,20.169669148521244
825,68,ONEWEB-0194,15.534028777268382
826,69,ONEWEB-0194,22.711941531623935
827,70,ONEWEB-0194,24.834611336020206
828,71,ONEWEB-0194,16.315524073431824
829,84,ONEWEB-0191,13.692357974552161
830,85,ONEWEB-0191,22.99290022173334
831,86,ONEWEB-0191,37.95359026788134
832,87,ONEWEB-0191,43.805735953988595
833,88,ONEWEB-0191,22.475788403227245
834,43,ONEWEB-0195,10.082353920184445
835,44,ONEWEB-0195,11.571264125188257
836,45,ONEWEB-0195,10.10871002870379
837,73,ONEWEB-0201,16.91309918136829
838,74,ONEWEB-0201,26.150384337689463
839,75,ONEWEB-0201,29.81491996875265
840,76,ONEWEB-0201,18.539085428618414
841,99,ONEWEB-0200,11.320588129935917
842,100,ONEWEB-0200,19.536480560475518
843,101,ONEWEB-0200,34.76218201530612
844,95,ONEWEB-0217,15.24899966120797
845,96,ONEWEB-0217,25.71555843775497
846,97,ONEWEB-0217,46.36968263416028
847,98,ONEWEB-0217,65.45474884452719
848,99,ONEWEB-0217,27.118476071717524
849,0,HAIYANG-2D,10.111378217781999
850,1,HAIYANG-2D,17.97316733598226
851,2,HAIYANG-2D,18.498765820719907
852,3,HAIYANG-2D,12.093523133496245
853,29,ONEWEB-0211,14.294088439295304
854,30,ONEWEB-0211,23.558181521183467
855,17,ONEWEB-0230,14.759020924080778
856,18,ONEWEB-0230,40.385018831564906
857,29,ONEWEB-0237,12.130792408990215
858,30,ONEWEB-0237,27.5920623266204
859,20,ONEWEB-0235,11.833427263600395
860,21,ONEWEB-0235,22.4972455708737
861,22,ONEWEB-0235,47.61199152289725
862,23,ONEWEB-0235,15.480590496337644
863,20,ONEWEB-0242,10.113497339916847
864,21,ONEWEB-0242,26.375293744327085
865,22,ONEWEB-0242,14.399213231785442
866,32,ONEWEB-0241,19.572486570539315
867,51,ONEWEB-0243,16.021810191548862
868,23,ONEWEB-0244,14.720024939814177
869,24,ONEWEB-0244,26.500069526120445
870,30,ONEWEB-0247,17.734481655052218
871,31,ONEWEB-0247,14.514445521037384
